country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Guinea-Bissau,GNB,CHE_CAP,53.9500007629395,58.1800003051758,56.2900009155273,61.2400016784668,62.5800018310547
Kenya,KEN,CHE_CAP,69.7799987792969,72.5100021362305,65.1100006103516,73.5400009155273,83.4100036621094
Lesotho,LSO,CHE_CAP,104.160003662109,89.5299987792969,110.870002746582,124.690002441406,124.190002441406
Liberia,LBR,CHE_CAP,73.4499969482422,69.9899978637695,64.4899978637695,61.2200012207031,52.560001373291
Libya,LBY,CHE_CAP,NULL,NULL,NULL,NULL,NULL
Madagascar,MDG,CHE_CAP,23.2299995422363,25.0200004577637,24.9599990844727,22.3400001525879,19.8500003814697
Malawi,MWI,CHE_CAP,35.6800003051758,34.7299995422363,38.3899993896484,37.4300003051758,30.3999996185303
Mali,MLI,CHE_CAP,30.8999996185303,29.4599990844727,30.5,33.4000015258789,34.2799987792969
Mauritius,MUS,CHE_CAP,529.159973144531,553.210021972656,609.169982910156,656.619995117188,685.950012207031
Mauritania,MRT,CHE_CAP,55.9900016784668,47.5900001525879,52.6699981689453,57.2999992370605,57.8800010681152
Morocco,MAR,CHE_CAP,147.860000610352,154.110000610352,161.360000610352,174.779998779297,174.220001220703
Mozambique,MOZ,CHE_CAP,39.6199989318848,30.7600002288818,35.7999992370605,40.7299995422363,39.4599990844727
Namibia,NAM,CHE_CAP,488.739990234375,423.890014648438,468.040008544922,464.480010986328,427.260009765625
Niger,NER,CHE_CAP,25.8899993896484,22.5699996948242,28.8700008392334,30.2700004577637,31.3999996185303
Nigeria,NGA,CHE_CAP,97.8000030517578,79.370002746582,73.8899993896484,66.5500030517578,71.4700012207031
Rwanda,RWA,CHE_CAP,49.9799995422363,51.8400001525879,49.3499984741211,52.2999992370605,51.4000015258789
Sao Tome and Principe,STP,CHE_CAP,85.2200012207031,109.980003356934,117.01000213623,115.019996643066,108.449996948242
Senegal,SEN,CHE_CAP,53.4300003051758,54.1100006103516,54.4300003051758,61.7999992370605,59.0999984741211
Seychelles,SYC,CHE_CAP,665.640014648438,772.450012207031,777.849975585938,840.280029296875,839.77001953125
Sierra Leone,SLE,CHE_CAP,120.910003662109,87.0999984741211,46.689998626709,44.2700004577637,46.1599998474121
Somalia,SOM,CHE_CAP,NULL,NULL,NULL,NULL,NULL
South Africa,ZAF,CHE_CAP,503.760009765625,465.089996337891,534.390014648438,564.5,546.690002441406
South Sudan,SSD,CHE_CAP,NULL,NULL,26.3799991607666,26.7000007629395,22.6399993896484
Sudan,SDN,CHE_CAP,158.899993896484,165.850006103516,192.610000610352,59.5099983215332,46.9300003051758
Eswatini,SWZ,CHE_CAP,259.519989013672,233.639999389648,273.380004882813,298.119995117188,264.059997558594
Tanzania,TZA,CHE_CAP,33.5900001525879,37.189998626709,39.7900009155273,42.0400009155273,40.3400001525879
Togo,TGO,CHE_CAP,38.1800003051758,42.9900016784668,53.9500007629395,54.8899993896484,51.1599998474121
Tunisia,TUN,CHE_CAP,255.699996948242,244.429992675781,237.360000610352,236.729995727539,233.059997558594
Uganda,UGA,CHE_CAP,39.3699989318848,38.2400016784668,30.6800003051758,32.0499992370605,32.4099998474121
Zimbabwe,ZWE,CHE_CAP,107.690002441406,112.410003662109,115.650001525879,141.369995117188,103.029998779297
Zambia,ZMB,CHE_CAP,59.3400001525879,57.3600006103516,67.1999969482422,76.3099975585938,69.3199996948242
Algeria,DZA,CHE_CAP_PPP,838.510009765625,768.080017089844,737.039978027344,734.989990234375,750.450012207031
Angola,AGO,CHE_CAP_PPP,191.199996948242,192.720001220703,204.080001831055,188.509994506836,178.029998779297
Benin,BEN,CHE_CAP_PPP,83.9300003051758,82.3199996948242,79.7399978637695,81.0800018310547,81.9899978637695
